code,eta,d,p,pl,sigma,errors,shots
css,0.5,9,0.005000000000000003,0.019983333333333332,0.0002555040931873989,5995,300000
css,0.5,9,0.005100000000000003,0.021563333333333334,0.0002651983450279137,6469,300000
css,0.5,9,0.005200000000000003,0.02349,0.00027651944058888073,7047,300000
css,0.5,9,0.0053000000000000035,0.02530666666666667,0.00028674557930851927,7592,300000
css,0.5,9,0.005400000000000004,0.027386666666666667,0.00029797814744619844,8216,300000
css,0.5,9,0.005500000000000004,0.029426666666666667,0.0003085524314135578,8828,300000
css,0.5,9,0.005600000000000004,0.03251,0.0003237989270184691,9753,300000
css,0.5,9,0.0057000000000000045,0.03436666666666666,0.00033259690808568054,10310,300000
css,0.5,9,0.005800000000000005,0.03729,0.00034592894212187586,11187,300000
css,0.5,9,0.005900000000000005,0.03993,0.00035747341560094653,11979,300000
css,0.5,9,0.006000000000000005,0.042173333333333334,0.00036694825847669726,12652,300000
css,0.5,9,0.006100000000000006,0.04551,0.00038052325218905503,13653,300000
css,0.5,9,0.006200000000000006,0.04839333333333333,0.00039179903412369516,14518,300000
css,0.5,9,0.006300000000000006,0.05181,0.0004046654162168581,15543,300000
css,0.5,9,0.006400000000000006,0.05497666666666667,0.0004161518943721007,16493,300000
css,0.5,9,0.006500000000000007,0.05858,0.00042875342281908924,17574,300000
css,0.5,9,0.006600000000000007,0.062123333333333336,0.00044069819488238085,18637,300000
css,0.5,9,0.006700000000000007,0.06559333333333334,0.00045200026799299686,19678,300000
css,0.5,9,0.006800000000000007,0.07038666666666667,0.0004670217016238404,21116,300000
css,0.5,9,0.006900000000000008,0.07308333333333333,0.00047519308860666243,21925,300000
css,0.5,9,0.007000000000000008,0.07805666666666666,0.0004897760611643764,23417,300000
css,0.5,9,0.007100000000000008,0.08234333333333334,0.000501873949534673,24703,300000
css,0.5,9,0.0072000000000000085,0.08652666666666667,0.0005132903954573054,25958,300000
css,0.5,9,0.007300000000000009,0.09029,0.0005232526529499321,27087,300000
css,0.5,9,0.007400000000000009,0.09542,0.0005363931440562492,28626,300000
css,0.5,9,0.007500000000000009,0.09891333333333334,0.0005450679619900534,29674,300000
css,0.5,9,0.0076000000000000095,0.10402330465228117,0.0005678510944198273,30067,289041
css,0.5,9,0.00770000000000001,0.10888227208599749,0.0005932057615097297,30022,275729
css,0.5,9,0.00780000000000001,0.11451239820590892,0.0006216155922088434,30050,262417
css,0.5,9,0.007900000000000011,0.11950882529772688,0.0006472821523810374,30015,251153
css,0.5,9,0.00800000000000001,0.12462590229667972,0.0006729319500666728,30024,240913
css,0.5,9,0.00810000000000001,0.12939528448227705,0.000695748293483317,30113,232721
css,0.5,9,0.008200000000000011,0.1357780517211016,0.0007279186624047917,30069,221457
css,0.5,9,0.008300000000000012,0.13870013479879095,0.0007413527657076646,30148,217361
css,0.5,9,0.008400000000000012,0.14612536815188965,0.0007780796081163499,30116,206097
css,0.5,9,0.008500000000000011,0.14997238489976464,0.0007964324464236616,30141,200977
css,0.5,9,0.008600000000000012,0.15487412865243616,0.000821794187454622,30016,193809
css,0.5,9,0.008700000000000013,0.1616043634571182,0.0008520151940782095,30162,186641
css,0.5,9,0.008800000000000013,0.1676129557092153,0.0008816914620441152,30082,179473
css,0.5,9,0.008900000000000012,0.1715846433682866,0.0009002780500942387,30092,175377
css,0.5,9,0.009000000000000013,0.1775953862426359,0.0009289999956783868,30055,169233
css,0.5,9,0.009100000000000014,0.18477027880482436,0.0009610439992613906,30134,163089
css,0.5,9,0.009200000000000014,0.18922845659871818,0.0009823199499420232,30086,158993
css,0.5,9,0.009300000000000013,0.19506346142598116,0.0010101526282834394,30015,153873
css,0.5,9,0.009400000000000014,0.201299264907162,0.0010360719774624716,30150,149777
css,0.5,9,0.009500000000000015,0.20703454808794558,0.001061564474266724,30161,145681
css,0.5,9,0.009600000000000015,0.21322173959105836,0.0010885102236206368,30189,141585
css,0.5,9,0.009700000000000014,0.21814558922267224,0.0011096603240335623,30216,138513
css,0.5,9,0.009800000000000015,0.22396720652893606,0.0011371146300334645,30105,134417
